Country,1950,1955,1960,1965,1970,1975,1980
World,"2,557,629.00","2,782,099.00","3,043,002.00","3,350,426.00","3,712,698.00","4,089,084.00","4,451,363.00"
China,"562,580.00","607,047.00","651,340.00","716,667.00","822,116.00","920,295.00","987,822.00"
India,"369,881.00","404,268.00","445,394.00","494,964.00","553,889.00","618,923.00","684,888.00"
United States,"151,869.00","165,070.00","179,980.00","193,527.00","203,985.00","215,466.00","227,225.00"
Russia,"101,937.00","111,126.00","119,632.00","126,542.00","130,246.00","134,294.00","139,039.00"
Japan,"83,806.00","89,816.00","94,092.00","98,883.00","104,345.00","111,574.00","116,808.00"
Indonesia,"82,979.00","90,255.00","100,146.00","110,754.00","122,292.00","135,214.00","150,322.00"
Germany,"68,375.00","70,196.00","72,481.00","75,639.00","77,784.00","78,683.00","78,298.00"
