Country,1950,1955,1960,1965,1970,1975,1980
World,2557629,2782099,3043002,3350426,3712698,4089084,4451363
China,562580,607047,651340,716667,822116,920295,987822
India,369881,404268,445394,494964,553889,618923,684888
United States,151869,165070,179980,193527,203985,215466,227225
Russia,101937,111126,119632,126542,130246,134294,139039
Japan,83806,89816,94092,98883,104345,111574,116808
Indonesia,82979,90255,100146,110754,122292,135214,150322
Germany,68375,70196,72481,75639,77784,78683,78298
